ruleId,layer,stage,implLevel,severity,runtimeHandler,checklistId
W39,W,W3,checklist,WARN,,
W40,W,W3,checklist,WARN,,
W41,W,W3,checklist,BLOCK,,
W42,W,W3,checklist,BLOCK,,
W43,W,W3,checklist,BLOCK,,
W44,W,W3,checklist,BLOCK,,
W45,W,W3,checklist,BLOCK,,
W46,W,W3,checklist,BLOCK,,
V1,V,SB,checklist,WARN,,
V2,V,SB,checklist,WARN,,
V3,V,SB,checklist,WARN,,
V4,V,SB,checklist,WARN,,
V5,V,SB,checklist,WARN,,
V6,V,SB,checklist,WARN,,
V7,V,SB,checklist,WARN,,
V8,V,SB,checklist,WARN,,
V9,V,SB,checklist,WARN,,
V10,V,SB,checklist,WARN,,
V11,V,SB,checklist,WARN,,
V12,V,SB,checklist,WARN,,
V13,V,SB,checklist,WARN,,
V14,V,SB,checklist,WARN,,
V15,V,SB,checklist,WARN,,
V16,V,SB,checklist,WARN,,
V17,V,SB,checklist,WARN,,
V18,V,SB,checklist,WARN,,
V19,V,SB,checklist,WARN,,
V20,V,SB,checklist,WARN,,
V21,V,SB,checklist,WARN,,
V22,V,SB,checklist,WARN,,
V23,V,SB,checklist,WARN,,
V24,V,SB,checklist,WARN,,
V25,V,SB,checklist,WARN,,
V26,V,SB,checklist,WARN,,
V27,V,SB,checklist,WARN,,
V28,V,SB,checklist,WARN,,
V29,V,SB,checklist,WARN,,
V30,V,SB,checklist,WARN,,
V31,V,SB,checklist,WARN,,
V32,V,SB,checklist,WARN,,
V33,V,SB,checklist,WARN,,
V34,V,SB,checklist,WARN,,
V35,V,SB,checklist,WARN,,
V36,V,SB,checklist,WARN,,
V37,V,SB,checklist,WARN,,
V38,V,SB,checklist,WARN,,
V39,V,SB,checklist,WARN,,
V40,V,SB,checklist,WARN,,
V41,V,SB,checklist,WARN,,
V42,V,SB,checklist,WARN,,
V43,V,SB,checklist,WARN,,
V44,V,SB,checklist,WARN,,
V45,V,SB,checklist,WARN,,
V46,V,SB,checklist,WARN,,
V47,V,SB,checklist,WARN,,
V48,V,SB,checklist,WARN,,
V49,V,SB,checklist,WARN,,
V50,V,SB,checklist,WARN,,
V51,V,SB,checklist,WARN,,
V52,V,SB,checklist,WARN,,
V53,V,SB,checklist,WARN,,
V54,V,SB,checklist,WARN,,
V55,V,SB,checklist,WARN,,
V56,V,SB,checklist,WARN,,
V57,V,SB,checklist,WARN,,
V58,V,SB,checklist,WARN,,
V59,V,SB,checklist,WARN,,
V60,V,SB,checklist,WARN,,
V61,V,SB,checklist,WARN,,
V62,V,SB,checklist,WARN,,
V63,V,SB,checklist,WARN,,
V64,V,SB,checklist,WARN,,
V65,V,SB,checklist,WARN,,
V66,V,SB,checklist,WARN,,
V67,V,SB,checklist,WARN,,
V68,V,SB,checklist,WARN,,
V69,V,SB,checklist,WARN,,
V70,V,SB,checklist,WARN,,
V71,V,SB,checklist,WARN,,
V72,V,SB,checklist,WARN,,
V73,V,SB,checklist,WARN,,
V74,V,SB,checklist,WARN,,
V75,V,SB,checklist,WARN,,
V76,V,SB,checklist,WARN,,
V77,V,SB,checklist,WARN,,
V78,V,SB,checklist,WARN,,
V79,V,SB,checklist,WARN,,
V80,V,SB,checklist,WARN,,
V81,V,SB,checklist,WARN,,
V82,V,SB,checklist,WARN,,
V83,V,SB,checklist,WARN,,
V84,V,SB,checklist,WARN,,
V85,V,SB,checklist,WARN,,
V86,V,SB,checklist,WARN,,
V87,V,SB,checklist,WARN,,
V88,V,SB,checklist,WARN,,
V89,V,SB,checklist,WARN,,
V90,V,SB,checklist,WARN,,
V91,V,SB,checklist,WARN,,
V92,V,SB,checklist,WARN,,
V93,V,SB,checklist,WARN,,
V94,V,SB,checklist,WARN,,
V95,V,SB,checklist,WARN,,
V96,V,SB,checklist,WARN,,
V97,V,SB,checklist,WARN,,
V98,V,SB,checklist,WARN,,
M1,M,EN,checklist,WARN,,
M2,M,EN,checklist,WARN,,
M3,M,EN,checklist,WARN,,
M4,M,EN,checklist,WARN,,
M5,M,EN,checklist,WARN,,
M6,M,EN,checklist,WARN,,
M7,M,EN,checklist,WARN,,
M8,M,EN,checklist,WARN,,
M9,M,EN,checklist,WARN,,
M10,M,EN,checklist,WARN,,
M11,M,EN,checklist,WARN,,
M12,M,EN,checklist,WARN,,
M13,M,EN,checklist,WARN,,
M14,M,EN,checklist,WARN,,
M15,M,EN,checklist,WARN,,
M16,M,EN,checklist,WARN,,
S1,S,EN,checklist,WARN,,
S2,S,EN,checklist,WARN,,
S3,S,EN,checklist,WARN,,
S4,S,EN,checklist,WARN,,
S5,S,EN,checklist,WARN,,
S6,S,EN,checklist,WARN,,
S7,S,EN,checklist,WARN,,
S8,S,EN,checklist,WARN,,
S9,S,EN,checklist,WARN,,
S10,S,EN,checklist,WARN,,
S11,S,EN,checklist,WARN,,
S12,S,EN,checklist,WARN,,
S13,S,EN,checklist,WARN,,
S14,S,EN,checklist,WARN,,
S15,S,EN,checklist,WARN,,
S16,S,EN,checklist,WARN,,
S17,S,EN,checklist,WARN,,
S18,S,EN,checklist,WARN,,
S19,S,EN,checklist,WARN,,
S20,S,EN,checklist,WARN,,
S21,S,EN,checklist,WARN,,
S22,S,EN,checklist,WARN,,
S23,S,EN,checklist,WARN,,
I1,I,SB,checklist,WARN,,
I2,I,SB,checklist,WARN,,
I3,I,SB,checklist,WARN,,
I4,I,SB,checklist,WARN,,
I5,I,SB,checklist,WARN,,
I6,I,SB,checklist,WARN,,
I7,I,SB,checklist,WARN,,
I8,I,SB,checklist,WARN,,
I9,I,SB,checklist,WARN,,
I10,I,SB,checklist,WARN,,
I11,I,SB,checklist,WARN,,
I12,I,SB,checklist,WARN,,
I13,I,SB,checklist,WARN,,
I14,I,SB,checklist,WARN,,
I15,I,SB,checklist,WARN,,
I16,I,SB,checklist,WARN,,
X1,X,SB,checklist,WARN,,
X2,X,SB,checklist,WARN,,
X3,X,SB,checklist,WARN,,
X4,X,SB,checklist,WARN,,
X5,X,SB,checklist,WARN,,
X6,X,SB,checklist,WARN,,
X7,X,SB,checklist,WARN,,
X8,X,SB,checklist,WARN,,
X9,X,SB,checklist,WARN,,
X10,X,SB,checklist,WARN,,
X11,X,SB,checklist,WARN,,
X12,X,SB,checklist,WARN,,
X13,X,SB,checklist,WARN,,
X14,X,SB,checklist,WARN,,
X15,X,SB,checklist,WARN,,
X16,X,SB,checklist,WARN,,
X17,X,SB,checklist,WARN,,
X18,X,SB,checklist,WARN,,
X19,X,SB,checklist,WARN,,
X20,X,SB,checklist,WARN,,
X21,X,SB,checklist,WARN,,
Y1,Y,EN,checklist,WARN,,
Y2,Y,EN,checklist,WARN,,
Y3,Y,EN,checklist,WARN,,
Y4,Y,EN,checklist,WARN,,
Y5,Y,EN,checklist,WARN,,
Y6,Y,EN,checklist,WARN,,
Y7,Y,EN,checklist,WARN,,
Y8,Y,EN,checklist,WARN,,
Y9,Y,EN,checklist,WARN,,
Y10,Y,EN,checklist,WARN,,
Z1,Z,SB,checklist,WARN,,
Z2,Z,SB,checklist,WARN,,
Z3,Z,SB,checklist,WARN,,
Z4,Z,SB,checklist,WARN,,
Z5,Z,SB,checklist,WARN,,
Z6,Z,SB,checklist,WARN,,
Z7,Z,SB,checklist,WARN,,
Z8,Z,SB,checklist,WARN,,
Z9,Z,SB,checklist,WARN,,
Z10,Z,SB,checklist,WARN,,
Z11,Z,SB,checklist,WARN,,
Z12,Z,SB,checklist,WARN,,
Z13,Z,SB,checklist,WARN,,
Z14,Z,SB,checklist,WARN,,
Z15,Z,SB,checklist,WARN,,
Z16,Z,SB,checklist,WARN,,
Z17,Z,SB,checklist,WARN,,
B1,B,designBrief,checklist,WARN,,
B2,B,designBrief,checklist,WARN,,
B3,B,designBrief,checklist,WARN,,
B4,B,designBrief,checklist,WARN,,
B5,B,designBrief,checklist,WARN,,
B6,B,designBrief,checklist,WARN,,
B7,B,designBrief,checklist,WARN,,
B8,B,designBrief,checklist,WARN,,
B9,B,designBrief,checklist,WARN,,
B10,B,designBrief,checklist,WARN,,
B11,B,designBrief,checklist,WARN,,
D1,D,SB,checklist,WARN,,
D2,D,SB,checklist,WARN,,
D3,D,SB,checklist,WARN,,
D4,D,SB,checklist,WARN,,
D5,D,SB,checklist,WARN,,
D6,D,SB,checklist,WARN,,
D7,D,SB,checklist,WARN,,
D8,D,SB,checklist,WARN,,
D9,D,SB,checklist,WARN,,
D10,D,SB,checklist,WARN,,
D11,D,SB,checklist,WARN,,
D12,D,SB,checklist,WARN,,
D13,D,SB,checklist,WARN,,
D14,D,SB,checklist,WARN,,
D15,D,SB,checklist,WARN,,
D16,D,SB,checklist,WARN,,
D17,D,SB,checklist,WARN,,
D18,D,SB,checklist,WARN,,
D19,D,SB,checklist,WARN,,
D20,D,SB,checklist,WARN,,
D21,D,SB,checklist,WARN,,
D22,D,SB,checklist,WARN,,
H1,H,validate,checklist,BLOCK,,
H2,H,validate,checklist,BLOCK,,
H3,H,validate,checklist,BLOCK,,
H4,H,validate,checklist,BLOCK,,
H5,H,validate,checklist,BLOCK,,
H6,H,validate,checklist,BLOCK,,
H7,H,validate,checklist,BLOCK,,
H8,H,validate,checklist,BLOCK,,
H9,H,validate,checklist,BLOCK,,
H10,H,validate,checklist,BLOCK,,
